,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
80,Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2,1065,"200 E 94th St APT 414, New York, NY 10128, USA",New York,10128,New York County,New York,94th St,40.7833546,-73.9499982
81,Douglas Elliman - 575 Madison Ave,Condo for sale,1650000,2,2,1065,"200 E 94th St APT 414, New York, NY 10128, USA",New York,10128,New York County,New York,94th St,40.7833546,-73.9499982
82,COMPASS,Townhouse for sale,12950000,5,4,3344,"214 W 11th St, New York, NY 10014, USA",New York,10014,New York County,New York,11th St,40.7363219,-74.0018035
83,Brown Harris Stevens - 1926 Broadway,Condo for sale,5750000,3,2,2223,"250 E 21st St #12b, New York, NY 10010, USA",New York,10010,New York County,New York,21st St,40.736608,-73.9822819
84,Sowae Corp,Multi-family home for sale,250000,5,2,2184,"130-24 150th St, Jamaica, NY 11436, USA",New York,11436,Queens County,Jamaica,150th St,40.66911,-73.789339
85,Charles Rutenberg Realty Inc,Pending,950000,6,2,3384,"254-06 Craft Ave #2, Jamaica, NY 11422, USA",New York,11422,Queens County,Rosedale,Craft Ave,40.6499031,-73.7354706
86,Keller Williams Realty Empire,House for sale,585000,3,2,1100,"192 Colfax Ave, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Colfax Ave,40.5784263,-74.105437
87,BROWN HARRIS STEVENS BROOKLYN LLC,House for sale,8750000,6,6,2184,"8200 Narrows Ave, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Narrows Ave,40.6282935,-74.0379695
88,"Tom Marco Real Estate, Inc.",House for sale,595000,3,1,1316,"1509 E 48th St, Brooklyn, NY 11234, USA",New York,11234,Kings County,Brooklyn,48th St,40.6239146,-73.9291226
89,Engel & Volkers Brownstone Brooklyn,Condo for sale,215000,1,1,625,"195 Prince St #1r, New York, NY 10012, USA",New York,10012,New York County,New York,Prince St,40.7267732,-74.002538
90,Built by Toll Brothers,For sale,950000,1,1,621,"218 W 103rd St, New York, NY 10025, USA",New York,10025,New York County,New York,103rd St,40.7986579,-73.9679035
91,Sowae Corp,House for sale,314000,3,1,1572,"850 E 39th St, Brooklyn, NY 11210, USA",New York,11210,Kings County,Brooklyn,39th St,40.6362368,-73.939679
92,Brown Harris Stevens,Condo for sale,395000,5,1,1000,"110 E 71st St, New York, NY 10021, USA",New York,10021,New York County,New York,71st St,40.7700395,-73.9638872
93,Prospes Real Estate Corp,Multi-family home for sale,600000,2,2,2184,"1406 Mac Donough Pl, Bronx, NY 10465, USA",New York,10465,Bronx County,Bronx,Mac Pl,40.8429545,-73.8249591
94,EXP Realty,Multi-family home for sale,790000,6,3,2520,"78 Mountainview Ave, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Mountainview Ave,40.6105856,-74.1268175
95,STROFFOLINO REALTY LLC,Co-op for sale,539000,2,2,1100,"9425 Shore Rd #4f, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Shore Rd,40.6170731,-74.0383836
96,Douglas Elliman - 3544 Johnson Ave,Co-op for sale,1295000,4,2,1995,"2501 Palisade Ave #2, Bronx, NY 10463, USA",New York,10463,Bronx County,Bronx,Palisade Ave,40.8809873,-73.9224337
97,Sowae Corp,House for sale,245000,3,1,2184,"2942 Lurting Ave, Bronx, NY 10469, USA",New York,10469,Bronx County,Bronx,Lurting Ave,40.8690109,-73.8564445
98,Americas Real Estate Advisors,House for sale,400000,7,3,2385,"340 E 234th St, Bronx, NY 10470, USA",New York,10470,Bronx County,Bronx,234th St,40.8969146,-73.8654984
99,Douglas Elliman - 575 Madison Ave,House for sale,55000000,8,8,12000,"25 Riverside Dr, New York, NY 10023, USA",New York,10023,New York County,New York,Riverside Dr,40.782238,-73.9846322
100,Brown Harris Stevens,Co-op for sale,280000,1,1,1000,"8015 6th Ave Apt A1, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,6th Ave,40.6241766,-74.0216837
101,Top Choice Realty LLC,House for sale,899000,3,2,1440,"40 Adelphi Ave, Staten Island, NY 10309, USA",New York,10309,Richmond County,Staten Island,Adelphi Ave,40.5159004,-74.2314825
102,Built by Toll Brothers,For sale,2280000,2,2,1400,"218 W 103rd St, New York, NY 10025, USA",New York,10025,New York County,New York,103rd St,40.7986579,-73.9679035
103,Cross Country Realty,Coming Soon,649000,4,3,2184,"194 Carroll St, Brooklyn, NY 11231, USA",New York,11231,Kings County,Brooklyn,Carroll St,40.6813429,-73.9981509
104,Charles Rutenberg Realty Inc,Pending,739000,6,4,2184,"38 Dare Ct, Brooklyn, NY 11229, USA",New York,11229,Kings County,Brooklyn,Dare Ct,40.5877991,-73.9216187
105,AmeriHomes Realty,House for sale,1495000,4,2,3000,"31 4 Ct, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,4 Ct,40.5247627,-74.1681035
106,Douglas Elliman - 187 Seventh Ave,House for sale,3950000,5,2,3528,"591 4th St, Brooklyn, NY 11215, USA",New York,11215,Kings County,Brooklyn,4th St,40.6680619,-73.9748375
107,Avenues - Headquarters,Condo for sale,325000,2,1,979,"122 E 102nd St #5b, New York, NY 10029, USA",New York,10029,New York County,New York,102nd St,40.7897507,-73.9487257
108,Corcoran Chelsea/Flatiron,Pending,299999,3,1,2184,"215 W 75th St #4d, New York, NY 10023, USA",New York,10023,New York County,New York,75th St,40.7810583,-73.9808407
109,Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,2695000,6,5,4720,"327 Convent Ave, New York, NY 10031, USA",New York,10031,New York County,New York,Convent Ave,40.8235127,-73.9467514
110,NoBroker,Pending,4800000,6,2,3958,"1151 83rd St, Brooklyn, NY 11228, USA",New York,11228,Kings County,Brooklyn,83rd St,40.6178184,-74.0151165
111,Compass Realty Central Inc.,House for sale,694000,3,3,1360,"364 Armstrong Ave, Staten Island, NY 10308, USA",New York,10308,Richmond County,Staten Island,Armstrong Ave,40.5423126,-74.1555672
112,Douglas Elliman - 3544 Johnson Ave,House for sale,688888,4,2,2846,"761 S Oak Dr, Bronx, NY 10467, USA",New York,10467,Bronx County,Bronx,Oak Dr,40.8726182,-73.8651768
113,Sowae Corp,House for sale,400000,4,2,1980,"781 Shepherd Ave, Brooklyn, NY 11208, USA",New York,11208,Kings County,Brooklyn,Shepherd Ave,40.665357,-73.8770867
114,Sowae Corp,Multi-family home for sale,346000,5,2,2184,"103-12 104th St, Jamaica, NY 11417, USA",New York,11417,Queens County,Ozone Park,104th St,40.6837891,-73.8381042
115,Sowae Corp,House for sale,400000,4,2,1980,"781 Shepherd Ave, Brooklyn, NY 11208, USA",New York,11208,Kings County,Brooklyn,Shepherd Ave,40.665357,-73.8770867
116,Sowae Corp,Multi-family home for sale,346000,5,2,2184,"103-12 104th St, Jamaica, NY 11417, USA",New York,11417,Queens County,Ozone Park,104th St,40.6837891,-73.8381042
117,Sowae Corp,House for sale,265000,3,1,2184,"135-38 224th St, Jamaica, NY 11413, USA",New York,11413,Queens County,Springfield Gardens,224th St,40.67538,-73.7472571
118,Winzone Realty Inc,House for sale,319000,3,2,1224,"57 Neutral Ave, Staten Island, NY 10306, USA",New York,10306,Richmond County,Staten Island,Neutral Ave,40.5604695,-74.1018925
119,Corcoran East Side,Townhouse for sale,24800000,6,8,2184,"45 E 74th St, New York, NY 10021, USA",New York,10021,New York County,New York,74th St,40.772929,-73.9635462
