,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
3939,Serhant,Condo for sale,1795000,2,2,1245,"180 Front St #7f, Brooklyn, NY 11201, USA",New York,11201,Kings County,Brooklyn,Front St,40.7022611,-73.9854097
3940,Corcoran East Side,Condo for sale,21500000,5,2,4179,"1295 Madison Ave, New York, NY 10128, USA",New York,10128,New York County,New York,Madison Ave,40.7847977,-73.9556597
3941,RE/MAX Team,Multi-family home for sale,1595000,5,3,2184,"41-33 68th St, Flushing, NY 11377, USA",New York,11377,Queens County,Woodside,68th St,40.7435797,-73.8964717
3942,Dolly Lenz Real Estate LLC,Townhouse for sale,6500000,7,5,2184,"156 E 71st St, New York, NY 10021, USA",New York,10021,New York County,New York,71st St,40.7693076,-73.9621998
3943,CENTURY 21 Milestone Realty,Multi-family home for sale,1089000,4,3,2184,"196-11 100th Ave, Jamaica, NY 11423, USA",New York,11423,Queens County,Hollis,100th Ave,40.7099505,-73.7626558
3944,Keller Williams Rty Gold Coast,Condo for sale,735000,1,1,2184,"4237 27th St #5b, Long Island City, NY 11101, USA",New York,11101,Queens County,Long Island City,27th St,40.7491662,-73.9406038
3945,PEERLESS PROPERTIES CORP.,Pending,559900,2,1,1217,"158-11 96th St, Queens, NY 11414, USA",New York,11414,Queens County,Howard Beach,96th St,40.6609023,-73.8371049
3946,COMPASS,Co-op for sale,350000,1,1,2184,"340 Haven Ave Apt 6f, New York, NY 10033, USA",New York,10033,New York County,New York,Haven Ave,40.8510315,-73.9416561
3947,B Square Realty,Condo for sale,780000,3,3,1236,"32-05 Linden Pl, Flushing, NY 11354, USA",New York,11354,Queens County,Flushing,Linden Pl,40.767546,-73.8314686
3948,Goldstone N Y Realty Llc,Co-op for sale,173000,3,1,500,"76-26 113th St #1b, Flushing, NY 11375, USA",New York,11375,Queens County,Forest Hills,113th St,40.7172419,-73.8336819
3949,Weichert Realtors Evolution Group,House for sale,995000,4,2,2200,"43 Sunnyside Terrace, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Sunnyside Terrace,40.6146934,-74.0996097
3950,Akcess24homes Inc,Multi-family home for sale,775000,4,2,2184,"147-37 230th St, Jamaica, NY 11413, USA",New York,11413,Queens County,Springfield Gardens,230th St,40.656902,-73.7523889
3951,The Bouklis Group - The Bouklis Group,Condo for sale,1649000,1,1,800,"635 W 42nd St #30a, New York, NY 10036, USA",New York,10036,New York County,New York,42nd St,40.7617008,-73.9996228
3952,E Realty International Corp,Multi-family home for sale,1290000,5,3,2184,"44-12 65th St, Flushing, NY 11377, USA",New York,11377,Queens County,Woodside,65th St,40.7404458,-73.9008992
3953,Howard Hanna | Rand Realty,House for sale,575000,3,1,1390,"920 Harding Park, Bronx, NY 10473, USA",New York,10473,Bronx County,Bronx,Harding Park,40.8069155,-73.8562067
3954,Cross Country Realty,House for sale,1499000,7,6,2184,"120-47 Sunrise Ct, College Point, NY 11356, USA",New York,11356,Queens County,College Point,Sunrise Ct,40.7952284,-73.8483228
3955,"Fillmore Real Estate Fusion Team, INC.",Co-op for sale,800000,2,1,1200,"100 Avenue P #1h, Brooklyn, NY 11204, USA",New York,11204,Kings County,Brooklyn,Avenue P,40.6072346,-73.9847935
3956,Keller Williams NYC,Co-op for sale,750000,1,1,2184,"120 E 36th St, New York, NY 10016, USA",New York,10016,New York County,New York,36th St,40.7477728,-73.9794793
3957,Douglas Elliman - 575 Madison Ave,Condo for sale,1750000,2,2,1320,"199 Conover St #2b, Brooklyn, NY 11231, USA",New York,11231,Kings County,Brooklyn,Conover St,40.6774843,-74.0147997
3958,COMPASS,Condo for sale,2750000,2,2,1488,"30 Orchard St Ph B, New York, NY 10002, USA",New York,10002,New York County,New York,Orchard St,40.7155919,-73.9912903
3959,COMPASS,Condo for sale,698000,1,1,2184,"70 W 139th St #8i, New York, NY 10037, USA",New York,10037,New York County,New York,139th St,40.8162042,-73.9383242
3960,Douglas Elliman - 575 Madison Ave,Co-op for sale,425000,1,1,2184,"333 E 66th St #9b, New York, NY 10065, USA",New York,10065,New York County,New York,66th St,40.7643711,-73.9593578
3961,BHHS New York Properties,Condo for sale,26000000,5,6,4859,"24 Leonard St Apartment 2, New York, NY 10013, USA",New York,10013,New York County,New York,Leonard St,40.718295,-74.007645
3962,NoBroker,Condo for sale,3999999,2,2,1997,"527 W 27th St #5s, New York, NY 10001, USA",New York,10001,New York County,New York,27th St,40.7509451,-74.0035855
3963,Bond New York- Columbus Circle,Condo for sale,2295000,3,3,1615,"166 E 63rd St #10c, New York, NY 10065, USA",New York,10065,New York County,New York,63rd St,40.7641145,-73.9651826
3964,RE MAX Elite,Multi-family home for sale,689900,3,4,2448,"179 Ada Dr, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Ada Dr,40.6210192,-74.1602713
3965,Native Real Estate - Native Real Estate,House for sale,3850000,4,4,4374,"105 Franklin St, Brooklyn, NY 11222, USA",New York,11222,Kings County,Brooklyn,Franklin St,40.7295332,-73.957726
3966,Exp Realty,Co-op for sale,243000,2,1,965,"8 Fordham Hill Oval #12c, Bronx, NY 10468, USA",New York,10468,Bronx County,Bronx,Fordham Oval,40.8643305,-73.9075188
3967,LoHo Realty Inc,Co-op for sale,1995000,4,2,2184,"453 FDR Dr c803, New York, NY 10002, USA",New York,10002,New York County,New York,FDR Dr,40.7129113,-73.9781415
3968,KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,250000,3,1,2184,"5128 30th Ave. #5b, Woodside, NY 11377, USA",New York,11377,Queens County,Woodside,30th Ave,40.7593913,-73.9054195
3969,Home Source Realty Inc,House for sale,845000,4,2,2184,"202-08 100th Ave, Jamaica, NY 11423, USA",New York,11423,Queens County,Hollis,100th Ave,40.7108416,-73.7572751
3970,Housebiz Realty Inc.,Multi-family home for sale,915000,8,3,1896,"2120 Newbold Ave, Bronx, NY 10462, USA",New York,10462,Bronx County,Bronx,Newbold Ave,40.8329348,-73.8535075
3971,All American Realty Management,Condo for sale,599888,1,1,826,"43-33 48th St, Long Island City, NY 11104, USA",New York,11104,Queens County,Sunnyside,48th St,40.7436341,-73.916415
3972,E Realty International Corp,Co-op for sale,325000,2,1,2184,"99-30 59th Ave l1, Corona, NY 11368, USA",New York,11368,Queens County,Corona,59th Ave,40.7373584,-73.8574251
3973,Bold Realty Corp,Townhouse for sale,999000,4,2,2184,"30 Cedar St, Brooklyn, NY 11221, USA",New York,11221,Kings County,Brooklyn,Cedar St,40.6964448,-73.9283241
3974,E Realty International Corp,Condo for sale,688000,3,2,982,"844 50th St #5a, Brooklyn, NY 11220, USA",New York,11220,Kings County,Brooklyn,50th St,40.6403284,-74.0028134
3975,COMPASS,House for sale,950000,3,2,1308,"133 W 195th St, Bronx, NY 10468, USA",New York,10468,Bronx County,Bronx,195th St,40.8704967,-73.9011805
3976,Coldwell Banker American Homes,Co-op for sale,249000,1,1,750,"99-60 63rd Rd #9b, Rego Park, NY 11374, USA",New York,11374,Queens County,Rego Park,63rd Rd,40.7326518,-73.8546547
3977,Spire Group Inc.- Main Office,Co-op for sale,465000,1,1,2184,"444 E 52nd St #6e, New York, NY 10022, USA",New York,10022,New York County,New York,52nd St,40.754143,-73.963502
3978,RE MAX Real Estate Professionals,Multi-family home for sale,2499000,7,8,3700,"444 78th St, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,78th St,40.6278319,-74.024872
3979,E Realty International Corp,Condo for sale,409000,1,1,559,"13218 Avery Ave #3d, Flushing, NY 11355, USA",New York,11355,Queens County,Flushing,Avery Ave,40.7523131,-73.8324302
3980,United Real Estate Fortune,Condo for sale,630000,2,2,750,"142-25 37th Ave #6b, Flushing, NY 11354, USA",New York,11354,Queens County,Flushing,37th Ave,40.7627502,-73.8267096
3981,RE MAX Real Estate Professionals,Multi-family home for sale,2499000,7,8,3700,"444 78th St, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,78th St,40.6278319,-74.024872
3982,Bedford Brownstone Realty LLC,Condo for sale,874000,2,2,915,"139 Grove St #4f, Brooklyn, NY 11221, USA",New York,11221,Kings County,Brooklyn,Grove St,40.694352,-73.919978
3983,Brown Harris Stevens - 445 Park Avenue,Condo for sale,4995000,4,4,2184,"30 E 76th St, New York, NY 10021, USA",New York,10021,New York County,New York,76th St,40.774136,-73.96342
3984,Douglas Elliman - 575 Madison Ave,Co-op for sale,875000,2,2,2184,"114 E 90th St #1d, New York, NY 10128, USA",New York,10128,New York County,New York,90th St,40.7821142,-73.9544199
3985,Brown Harris Stevens,Co-op for sale,975000,2,2,2184,"255 West End Ave Apt 7a, New York, NY 10023, USA",New York,10023,New York County,New York,End Ave,40.7795544,-73.9848893
3986,Douglas Elliman  -111 Fifth Ave,Multi-family home for sale,5975000,12,4,2184,"24 Fiske Pl, Brooklyn, NY 11215, USA",New York,11215,Kings County,Brooklyn,Fiske Pl,40.6719889,-73.9755419
3987,Douglas Elliman  -111 Fifth Ave,Co-op for sale,475000,3,1,2184,"626 W 136th St #4, New York, NY 10031, USA",New York,10031,New York County,New York,136th St,40.8211783,-73.956073
3988,"Nest Seekers International, Midtown",Co-op for sale,975000,1,1,2184,"677 West End Ave #13c, New York, NY 10025, USA",New York,10025,New York County,New York,End Ave,40.7933309,-73.9749909
3989,Ny Superior Realty,House for sale,1548000,9,4,2184,"104-14 37th Ave, Flushing, NY 11368, USA",New York,11368,Queens County,Corona,37th Ave,40.7534193,-73.8628811
3990,Big Team Realty,Co-op for sale,175000,1,1,627,"164-20 Highland Ave #9d, Jamaica, NY 11432, USA",New York,11432,Queens County,Jamaica,Highland Ave,40.7101573,-73.7988498
3991,Douglas Elliman - 1995 Broadway,Condo for sale,3000000,1,2,1600,"90 Furman St Apt N-810, Brooklyn, NY 11201, USA",New York,11201,Kings County,Brooklyn,Furman St,40.7015519,-73.995867
3992,Brown Harris Stevens - 445 Park Avenue,Condo for sale,2400000,1,2,1427,"15 W 53rd St #14g, New York, NY 10019, USA",New York,10019,New York County,New York,53rd St,40.7613258,-73.9774014
3993,COMPASS,Townhouse for sale,14995000,5,2,6000,"184 E 75th St, New York, NY 10021, USA",New York,10021,New York County,New York,75th St,40.7719074,-73.9601359
3994,B Square Realty,House for sale,988000,4,4,2184,"29-26 211th St, Flushing, NY 11360, USA",New York,11360,Queens County,Bayside,211th St,40.7736469,-73.777944
3995,EXP Realty,Co-op for sale,299999,1,1,850,"6909 108th St Apt 312, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,108th St,40.7249599,-73.84549
3996,BESMATCH REAL ESTATE,Co-op for sale,120000,2,1,1100,"757 E 169th St #2a, Bronx, NY 10456, USA",New York,10456,Bronx County,Bronx,169th St,40.8310613,-73.8998364
3997,COMPASS,Condo for sale,1995000,3,2,1376,"128 W 26th St Fl 3, New York, NY 10001, USA",New York,10001,New York County,New York,26th St,40.7451522,-73.9927778
3998,Brown Harris Stevens,Townhouse for sale,1300000,3,2,2184,"449 Convent Ave, New York, NY 10031, USA",New York,10031,New York County,New York,Convent Ave,40.8274367,-73.9438954
3999,Douglas Elliman - 575 Madison Ave,Condo for sale,1400000,3,2,1625,"133 Beach 116th St, Rockaway Park, NY 11694, USA",New York,11694,Queens County,Rockaway Park,116th St,40.5783596,-73.8365039
4000,Corcoran Park Slope,Condo for sale,1080000,1,2,941,"659 Putnam Ave #1, Brooklyn, NY 11221, USA",New York,11221,Kings County,Brooklyn,Putnam Ave,40.685976,-73.9349974
4001,ATLANTIC PROPERTIES REALTY INC,House for sale,1175000,3,2,2184,"3026 Brighton 7th St., Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,Brighton St,40.5791234,-73.9613152
4002,Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,670000,1,1,2184,"400 E 59th St #16b, New York, NY 10022, USA",New York,10022,New York County,New York,59th St,40.7593483,-73.9617192
4003,Prestige Homes Ny Inc,Land for sale,75000,3,2,2184,"199th St, Jamaica, NY 11412, USA",New York,11412,Queens County,Saint Albans,199th St,40.6942163,-73.7530902
4004,Realty Trends Corp,House for sale,1499000,5,4,3200,"6416 Beach Front Rd, Far Rockaway, NY 11692, USA",New York,11692,Queens County,Arverne,Beach Rd,40.5883964,-73.7934995
4005,Katz Realty,House for sale,1200000,4,2,2173,"16 Monroe Pl, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,Monroe Pl,40.5995725,-74.1264046
4006,Coldwell Banker Reliable Real Estate,Multi-family home for sale,3299000,5,3,2184,"180 Clermont Ave, Brooklyn, NY 11205, USA",New York,11205,Kings County,Brooklyn,Clermont Ave,40.6923306,-73.9709219
4007,R New York,Multi-family home for sale,2500000,7,4,2660,"439 E 116th St, New York, NY 10029, USA",New York,10029,New York County,New York,116th St,40.7956068,-73.9338581
4008,RE MAX Edge,House for sale,799000,3,2,2184,"935 E 32nd St, Brooklyn, NY 11210, USA",New York,11210,Kings County,Brooklyn,32nd St,40.6284586,-73.9450168
4009,Chase Real Properties Llc,House for sale,715000,4,2,1866,"405 Turneur Ave, Bronx, NY 10473, USA",New York,10473,Bronx County,Bronx,Turneur Ave,40.8151628,-73.8462531
4010,Corcoran Westside Columbus,Condo for sale,925000,2,2,1033,"77 E 110th St #6a, New York, NY 10029, USA",New York,10029,New York County,New York,110th St,40.7958546,-73.9464985
4011,Exp Realty,Multi-family home for sale,750000,5,3,3327,"4251 Carpenter Ave, Bronx, NY 10466, USA",New York,10466,Bronx County,Bronx,Carpenter Ave,40.8959505,-73.859572
4012,Anita Loewy,Condo for sale,2795000,2,2,1372,"1 Lincoln Plaza, 20 W 64th St #18b, New York, NY 10023, USA",New York,10023,New York County,New York,64th St,40.7716812,-73.9815796
4013,COMPASS REALTY CENTRAL INC,Multi-family home for sale,1560000,5,2,2184,"1919 67th St, Brooklyn, NY 11204, USA",New York,11204,Kings County,Brooklyn,67th St,40.6165009,-73.9885469
4014,COMPASS,Co-op for sale,4650000,3,3,2184,"340 E 72nd St, New York, NY 10021, USA",New York,10021,New York County,New York,72nd St,40.7680852,-73.9572619
4015,CENTURY 21 Metro-Star,Multi-family home for sale,1100000,8,3,3312,"2138 Gleason Ave, Bronx, NY 10462, USA",New York,10462,Bronx County,Bronx,Gleason Ave,40.8315252,-73.8525427
4016,Douglas Elliman - Bayside,Pending,780000,3,2,1900,"250-38 39th Rd, Flushing, NY 11363, USA",New York,11363,Queens County,Little Neck,39th Rd,40.7742555,-73.7407295
4017,Douglas Elliman - 690 Washington,Co-op for sale,1199000,2,2,1000,"52 E 78th St #3c, New York, NY 10075, USA",New York,10075,New York County,New York,78th St,40.775154,-73.962097
4018,Serhant,Condo for sale,2850000,3,2,1912,"60 Broadway #8j, Brooklyn, NY 11249, USA",New York,11249,Kings County,Brooklyn,Broadway,40.7102929,-73.9660133
4019,Axe Realty NYC LLC,Multi-family home for sale,680000,3,2,2375,"3950 Hill Ave, Bronx, NY 10466, USA",New York,10466,Bronx County,Bronx,Hill Ave,40.8902197,-73.8385449
4020,Corcoran West Side,Co-op for sale,530000,1,1,2184,"16 Park Ave #8c, New York, NY 10007, USA",New York,10007,New York County,New York,Park Ave,40.7478025,-73.9811899
4021,Douglas Elliman - 575 Madison Ave,Pending,595000,1,1,2184,"210 6th Ave #1g, New York, NY 10014, USA",New York,10014,New York County,New York,6th Ave,40.7271763,-74.0030659
4022,COMPASS,Co-op for sale,475000,2,1,2184,"33-55 14th St #4a, Long Island City, NY 11106, USA",New York,11106,Queens County,Astoria,14th St,40.7640468,-73.934811
4023,EXIT ALL SEASONS REALTY,Multi-family home for sale,2700000,16,8,8000,"59 Newel St, Brooklyn, NY 11222, USA",New York,11222,Kings County,Brooklyn,Newel St,40.7244706,-73.9473969
4024,Exp Realty,Multi-family home for sale,900000,8,5,2028,"99 W 163rd St, Bronx, NY 10452, USA",New York,10452,Bronx County,Bronx,163rd St,40.8322942,-73.9291697
4025,Hometown Properties,House for sale,1049000,3,1,1683,"467 82nd St, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,82nd St,40.6249039,-74.0253417
4026,Aida Home Realty,Multi-family home for sale,995000,7,5,2184,"153-41 Sapphire St, Jamaica, NY 11414, USA",New York,11414,Queens County,Howard Beach,Sapphire St,40.6642913,-73.8554975
4027,Hometown Properties,Co-op for sale,245000,1,1,550,"7200 Ridge Blvd #409, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Ridge Blvd,40.6339001,-74.0299973
4028,"MAXIMILLION REALTY, INC.",Condo for sale,695000,2,2,1080,"601 Surf Ave #8c, Brooklyn, NY 11224, USA",New York,11224,Kings County,Brooklyn,Surf Ave,40.5754825,-73.9747644
4029,VYLLA Homes,Contingent,436000,2,1,912,"43 Purdy Pl, Staten Island, NY 10309, USA",New York,10309,Richmond County,Staten Island,Purdy Pl,40.5132319,-74.1952211
4030,Winzone Realty Inc,Condo for sale,555000,2,1,2184,"76-13 Ditmars Blvd, East Elmhurst, NY 11370, USA",New York,11370,Queens County,East Elmhurst,Ditmars Blvd,40.7689132,-73.8929233
4031,Carollo Real Estate Inc,Multi-family home for sale,1250000,11,6,2184,"10-41 115th St, Flushing, NY 11356, USA",New York,11356,Queens County,College Point,115th St,40.787484,-73.8520832
4032,COMPASS,Co-op for sale,4950000,2,2,2184,"1 W 67th St # 616, New York, NY 10023, USA",New York,10023,New York County,New York,67th St,40.7731562,-73.9781993
4033,Momentum Real Estate Llc,Multi-family home for sale,928000,3,4,1640,"223 43rd St, Brooklyn, NY 11232, USA",New York,11232,Kings County,Brooklyn,43rd St,40.6527672,-74.0120752
4034,Realty Connect USA LLC,House for sale,725000,3,2,2184,"11775 141st St, Jamaica, NY 11436, USA",New York,11436,Queens County,Jamaica,141st St,40.6763934,-73.7998105
4035,EXP Realty,Pending,938000,2,2,1700,"66-43 Alderton St, Flushing, NY 11374, USA",New York,11374,Queens County,Rego Park,Alderton St,40.7183478,-73.858704
4036,RE MAX Edge,Co-op for sale,199000,1,1,550,"2607 Avenue O #4a, Brooklyn, NY 11210, USA",New York,11210,Kings County,Brooklyn,Avenue O,40.614409,-73.9479665
4037,Lavilla Homes Inc,Multi-family home for sale,854000,6,2,2184,"2671 Bainbridge Ave, Bronx, NY 10458, USA",New York,10458,Bronx County,Bronx,Bainbridge Ave,40.8655935,-73.8916669
4038,Excell Choice Realty,House for sale,1439000,4,2,2184,"229 Monroe St, Brooklyn, NY 11216, USA",New York,11216,Kings County,Brooklyn,Monroe St,40.6857744,-73.9493686
4039,eXp Realty NYC,Contingent,389000,1,1,2184,"152 E 83rd St #5d, New York, NY 10028, USA",New York,10028,New York County,New York,83rd St,40.777093,-73.956552
4040,Douglas Elliman - 237 Smith St,Co-op for sale,475000,2,1,975,"2260 Benson Ave #1l, Brooklyn, NY 11214, USA",New York,11214,Kings County,Brooklyn,Benson Ave,40.5989402,-73.9939759
4041,COMPASS,Condo for sale,815000,2,2,1000,"2652 E 18th St #2a, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,18th St,40.5869733,-73.9514755
4042,Bhuiyan Properties LLC,Condo for sale,474000,2,1,750,"848 43rd St Apt 22, Brooklyn, NY 11232, USA",New York,11232,Kings County,Brooklyn,43rd St,40.6442712,-73.9986359
4043,COMPASS,Condo for sale,2350000,2,2,1572,"300 W 18th St #2, New York, NY 10011, USA",New York,10011,New York County,New York,18th St,40.7422513,-74.0010561
4044,Corcoran Westside Columbus,Co-op for sale,1325000,2,2,1250,"260 West End Ave #7a, New York, NY 10023, USA",New York,10023,New York County,New York,End Ave,40.779515,-73.9844714
4045,Coldwell Banker Reliable,House for sale,6600000,8,5,5110,"160 E 105th St, New York, NY 10029, USA",New York,10029,New York County,New York,105th St,40.7911493,-73.9463028
4046,MNS,Co-op for sale,590000,2,1,800,"800 E 17th St #4a, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,17th St,40.6311681,-73.9610093
4047,"MAXIMILLION REALTY, INC.",Condo for sale,695000,2,2,1080,"601 Surf Ave #8c, Brooklyn, NY 11224, USA",New York,11224,Kings County,Brooklyn,Surf Ave,40.5754825,-73.9747644
4048,COMPASS,Condo for sale,610000,1,1,673,"21 South End Ave APT 435, New York, NY 10280, USA",New York,10280,New York County,New York,End Ave,40.7082816,-74.0180413
4049,Douglas Elliman - Bayside,Pending,1238000,3,2,1550,"44-11 192nd St, Flushing, NY 11358, USA",New York,11358,Queens County,Flushing,192nd St,40.7561033,-73.7889919
4050,Keller Williams Rlty Landmark,Multi-family home for sale,789000,4,2,2184,"941 E 46th St, Brooklyn, NY 11203, USA",New York,11203,Kings County,Brooklyn,46th St,40.6382091,-73.9325492
4051,RE/MAX Elite,Contingent,699888,3,2,1870,"94 Lorrain Ave, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Lorrain Ave,40.541476,-74.174618
4052,Lavilla Homes Inc,Multi-family home for sale,854000,6,2,2184,"2671 Bainbridge Ave, Bronx, NY 10458, USA",New York,10458,Bronx County,Bronx,Bainbridge Ave,40.8655935,-73.8916669
4053,"Nest Seekers International, Midtown",Condo for sale,1299000,1,2,1066,"117 E 57th St APT 34F, New York, NY 10022, USA",New York,10022,New York County,New York,57th St,40.7617181,-73.969764
4054,Ozana Realty Group,House for sale,632000,4,2,1496,"40 Princeton Ln, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Princeton Ln,40.5533858,-74.1974018
4055,Olam Realty Group,Co-op for sale,499000,2,1,2184,"67-66 108th St, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,108th St,40.7272034,-73.8471901
4056,Ozana Realty Group,House for sale,632000,4,2,1496,"40 Princeton Ln, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Princeton Ln,40.5533858,-74.1974018
4057,NoBroker,Pending,895000,2,1,2184,"365 W 20th St Apt 9b, New York, NY 10011, USA",New York,10011,New York County,New York,20th St,40.7443407,-74.0016248
4058,Brown Harris Stevens - 129 Montague Street,Condo for sale,800000,2,1,850,"1240 Bedford Ave #1f, Brooklyn, NY 11216, USA",New York,11216,Kings County,Brooklyn,Bedford Ave,40.6813996,-73.9537521
4059,COMPASS,Condo for sale,725000,1,1,696,"190 Lefferts Pl APT 5, Brooklyn, NY 11238, USA",New York,11238,Kings County,Brooklyn,Lefferts Pl,40.6802147,-73.9567445
4060,COMPASS,Co-op for sale,349500,1,1,900,"11139 76th Rd Apt F7, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,76th Rd,40.7157399,-73.83672
4061,Corcoran Westside Columbus,Co-op for sale,625000,2,1,2184,"2790 Broadway #5a, New York, NY 10025, USA",New York,10025,New York County,New York,Broadway,40.8025988,-73.9673459
4062,Richmont Realty,Multi-family home for sale,1090000,5,3,2184,"22-08 Greene Ave, Flushing, NY 11385, USA",New York,11385,Queens County,Ridgewood,Greene Ave,40.7110433,-73.9060792
4063,Winzone Realty Inc,Multi-family home for sale,1348000,6,3,2184,"112-18 38th Ave, Flushing, NY 11368, USA",New York,11368,Queens County,Corona,38th Ave,40.7535493,-73.8547131
4064,Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,2975000,3,2,2184,"829 Park Ave #11b, New York, NY 10021, USA",New York,10021,New York County,New York,Park Ave,40.7733572,-73.961686
4065,Winzone Realty Inc,Co-op for sale,280000,1,1,2184,"42-42 Colden St #622, Flushing, NY 11355, USA",New York,11355,Queens County,Flushing,Colden St,40.7533266,-73.8265256
4066,Douglas Elliman - Franklin Square,Co-op for sale,259000,1,1,2184,"89-20 55th Ave Apt 1U, Elmhurst, NY 11373, USA",New York,11373,Queens County,Elmhurst,55th Ave,40.7365072,-73.8733466
4067,Douglas Elliman - 575 Madison Ave,Condo for sale,550000,3,1,446,"205 E 68th St #3d, New York, NY 10065, USA",New York,10065,New York County,New York,68th St,40.7670912,-73.9616292
4068,Douglas Elliman  -111 Fifth Ave,Condo for sale,12495000,4,3,2184,"7 Bond St, New York, NY 10012, USA",New York,10012,New York County,New York,Bond St,40.7265745,-73.9945558
4069,Corcoran Park Slope,Multi-family home for sale,4800000,5,6,2184,"206 Vanderbilt Ave, Brooklyn, NY 11205, USA",New York,11205,Kings County,Brooklyn,Vanderbilt Ave,40.6912637,-73.9696573
4070,Platinum Star Realty of Grt NY,Co-op for sale,398000,3,1,1000,"141-10 25th Rd #4b, Flushing, NY 11354, USA",New York,11354,Queens County,Flushing,25th Rd,40.7756728,-73.827111
4071,Joyce Realty,Co-op for sale,329000,2,1,850,"Alden Park, Bronx, NY 10465, USA",New York,10465,Bronx County,Bronx,Alden Park,40.8223617,-73.8072499
4072,Brown Harris Stevens - 129 Montague Street,Co-op for sale,385000,1,1,2184,"8701 Shore Rd Apt 432, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Shore Rd,40.6249201,-74.0404698
4073,RE/MAX 2000,Multi-family home for sale,1325000,9,3,2184,"37 Sheridan Ave, Brooklyn, NY 11208, USA",New York,11208,Kings County,Brooklyn,Sheridan Ave,40.6817405,-73.8676128
4074,Ditommaso Real Estate,House for sale,968000,3,2,2845,"107 McVeigh Ave, Staten Island, NY 10314, USA",New York,10314,Richmond County,Staten Island,McVeigh Ave,40.588988,-74.1530581
4075,E Realty International Corp,Co-op for sale,350000,1,1,2184,"61-15 97th St #12d, Rego Park, NY 11374, USA",New York,11374,Queens County,Rego Park,97th St,40.7337965,-73.8620837
4076,COMPASS,Pending,2750000,3,4,2900,"171 W 57th St APT 11A, New York, NY 10019, USA",New York,10019,New York County,New York,57th St,40.7656355,-73.9795713
4077,Winzone Realty Inc,Condo for sale,498000,1,1,785,"64-48 Booth St #1e, Rego Park, NY 11374, USA",New York,11374,Queens County,Rego Park,Booth St,40.7275115,-73.86069
4078,COMPASS,Townhouse for sale,1675000,5,2,2100,"841 Willoughby Ave, Brooklyn, NY 11221, USA",New York,11221,Kings County,Brooklyn,Willoughby Ave,40.6957069,-73.9344472
4079,CARINI GROUP - CARINI GROUP,Co-op for sale,525000,3,1,2184,"111 4th Ave #12a, New York, NY 10003, USA",New York,10003,New York County,New York,4th Ave,40.7324146,-73.9898491
4080,RE MAX Edge,Co-op for sale,280000,1,1,850,"2940 Ocean Ave Apt A7, Brooklyn, NY 11235, USA",New York,11235,Kings County,Brooklyn,Ocean Ave,40.5895139,-73.9497416
4081,Akcess24homes Inc,House for sale,849000,4,2,2184,"120-09 Linden Blvd, Jamaica, NY 11420, USA",New York,11420,Queens County,South Ozone Park,Linden Blvd,40.6793288,-73.8192101
4082,"Michael A. Kaufman, Licensed Real Estate Broker",Condo for sale,1250000,1,1,855,"389 E 89th St #15a, New York, NY 10128, USA",New York,10128,New York County,New York,89th St,40.7791164,-73.9482901
4083,KELLER WILLIAMS REALTY LANDMARK II,Condo for sale,359999,3,2,2184,"753B St Ann's Ave #52B, Bronx, NY 10456, USA",New York,10456,Bronx County,Bronx,753B Ave,40.8203804,-73.9109368
4084,KELLER WILLIAMS REALTY LANDMARK II,Co-op for sale,229000,1,1,2184,"21-16 35th St #1b, Astoria, NY 11105, USA",New York,11105,Queens County,Astoria,35th St,40.7763731,-73.9073075
4085,EZ Premier Realty LLC.,Land for sale,1002500,3,2,2184,"667 W 246th St, Bronx, NY 10471, USA",New York,10471,Bronx County,Bronx,246th St,40.892224,-73.9127628
4086,COMPASS,Co-op for sale,3995000,3,2,2184,"22 E 18th St #4a, New York, NY 10003, USA",New York,10003,New York County,New York,18th St,40.7379419,-73.9907264
